record_id,crop_name,year,month,farm_location,region_type,area_size,actual_yield_tons,quantity_sold_kg,unit_price_jod,total_sales_jod
58470,radish,2021,November,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1985,860.1666666666666
58471,radish,2021,November,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1492,646.5333333333333
58472,radish,2021,November,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1492,646.5333333333333
58473,radish,2021,December,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.2179,944.2333333333333
58474,radish,2021,December,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.2179,944.2333333333333
58475,radish,2021,December,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1693,733.6333333333333
58476,radish,2021,December,barn south,al-aghouar,20.0,52.0,4333.333333333333,0.1693,733.6333333333333
58477,radish,2022,January,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.1981,11795.204166666666
58478,radish,2022,January,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.1981,11795.204166666666
58479,radish,2022,January,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.15369999999999998,9151.554166666665
58480,radish,2022,January,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.15369999999999998,9151.554166666665
58481,radish,2022,February,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.32739999999999997,19493.941666666666
58482,radish,2022,February,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.32739999999999997,19493.941666666666
58483,radish,2022,February,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2655,15808.3125
58484,radish,2022,February,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2655,15808.3125
58485,radish,2022,March,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.29719999999999996,17695.78333333333
58486,radish,2022,March,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.29719999999999996,17695.78333333333
58487,radish,2022,March,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2404,14313.816666666666
58488,radish,2022,March,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2404,14313.816666666666
58489,radish,2022,April,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2767,16475.179166666665
58490,radish,2022,April,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2767,16475.179166666665
58491,radish,2022,April,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2196,13075.349999999999
58492,radish,2022,April,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2196,13075.349999999999
58493,radish,2022,May,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.26239999999999997,15623.73333333333
58494,radish,2022,May,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.26239999999999997,15623.73333333333
58495,radish,2022,May,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.206,12265.583333333332
58496,radish,2022,May,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.206,12265.583333333332
58497,radish,2022,June,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2723,16213.195833333331
58498,radish,2022,June,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2723,16213.195833333331
58499,radish,2022,June,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.21280000000000002,12670.466666666667
58500,radish,2022,June,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.21280000000000002,12670.466666666667
58501,radish,2022,July,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2524,15028.316666666668
58502,radish,2022,July,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2524,15028.316666666668
58503,radish,2022,July,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.193,11491.541666666666
58504,radish,2022,July,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.193,11491.541666666666
58505,radish,2022,August,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.351,20899.124999999996
58506,radish,2022,August,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.351,20899.124999999996
58507,radish,2022,August,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2828,16838.38333333333
58508,radish,2022,August,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2828,16838.38333333333
58509,radish,2022,September,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.32489999999999997,19345.087499999998
58510,radish,2022,September,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.32489999999999997,19345.087499999998
58511,radish,2022,September,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.26180000000000003,15588.008333333335
58512,radish,2022,September,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.26180000000000003,15588.008333333335
58513,radish,2022,October,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.3035,18070.895833333332
58514,radish,2022,October,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.3035,18070.895833333332
58515,radish,2022,October,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.247,14706.791666666666
58516,radish,2022,October,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.247,14706.791666666666
58517,radish,2022,November,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2718,16183.425
58518,radish,2022,November,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.2718,16183.425
58519,radish,2022,November,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.21730000000000002,12938.404166666667
58520,radish,2022,November,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.21730000000000002,12938.404166666667
58521,radish,2022,December,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.24430000000000002,14546.029166666667
58522,radish,2022,December,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.24430000000000002,14546.029166666667
58523,radish,2022,December,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.194,11551.083333333334
58524,radish,2022,December,barn south,al-aghouar,238.2,714.5,59541.666666666664,0.194,11551.083333333334
58525,radish,2023,January,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1565,6777.754166666667
58526,radish,2023,January,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1565,6777.754166666667
58527,radish,2023,January,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.10959999999999999,4746.593333333333
